2025-08-19 14:15:57.0936 | DEBUG | Trd:19 | Hangfire.Server.Worker | Background process 'Worker #9eeb0d9a' started. | 
2025-08-19 14:15:57.0936 | TRACE | Trd:11 | Hangfire.SqlServer.ExpirationManager | Outdated records removed from the 'Job' table. | 
2025-08-19 14:15:57.0936 | DEBUG | Trd:11 | Hangfire.SqlServer.ExpirationManager | Removing outdated records from the 'List' table... | 
2025-08-19 14:15:57.0936 | TRACE | Trd:11 | Hangfire.SqlServer.ExpirationManager | Outdated records removed from the 'List' table. | 
2025-08-19 14:15:57.0936 | DEBUG | Trd:11 | Hangfire.SqlServer.ExpirationManager | Removing outdated records from the 'Set' table... | 
2025-08-19 14:15:57.1111 | TRACE | Trd:11 | Hangfire.SqlServer.ExpirationManager | Outdated records removed from the 'Set' table. | 
2025-08-19 14:15:57.1111 | DEBUG | Trd:11 | Hangfire.SqlServer.ExpirationManager | Removing outdated records from the 'Hash' table... | 
2025-08-19 14:15:57.1498 | TRACE | Trd:11 | Hangfire.SqlServer.ExpirationManager | Outdated records removed from the 'Hash' table. | 
2025-08-19 14:15:57.1498 | DEBUG | Trd:20 | Hangfire.Server.Worker | Background process 'Worker #c4394026' started. | 
2025-08-19 14:15:57.1814 | DEBUG | Trd:21 | Hangfire.Server.Worker | Background process 'Worker #06fde0f7' started. | 
2025-08-19 14:15:57.1906 | DEBUG | Trd:22 | Hangfire.Server.Worker | Background process 'Worker #9872a620' started. | 
2025-08-19 14:15:57.2586 | DEBUG | Trd:23 | Hangfire.Server.Worker | Background process 'Worker #f4bf50c9' started. | 
2025-08-19 14:15:57.2663 | DEBUG | Trd:24 | Hangfire.Server.Worker | Background process 'Worker #53456d6b' started. | 
2025-08-19 14:15:57.2663 | DEBUG | Trd:25 | Hangfire.Server.Worker | Background process 'Worker #8391286d' started. | 
2025-08-19 14:15:57.2888 | DEBUG | Trd:26 | Hangfire.Server.Worker | Background process 'Worker #5046cc24' started. | 
2025-08-19 14:15:57.2994 | DEBUG | Trd:27 | Hangfire.Server.Worker | Background process 'Worker #0ab36f03' started. | 
2025-08-19 14:15:57.3566 | DEBUG | Trd:28 | Hangfire.Server.Worker | Background process 'Worker #09406a2f' started. | 
2025-08-19 14:15:57.3966 | DEBUG | Trd:29 | Hangfire.Server.Worker | Background process 'Worker #75db17ac' started. | 
2025-08-19 14:15:57.4091 | DEBUG | Trd:31 | Hangfire.Server.Worker | Background process 'Worker #52f6ef01' started. | 
2025-08-19 14:15:57.4091 | DEBUG | Trd:32 | Hangfire.Server.Worker | Background process 'Worker #5bad0841' started. | 
2025-08-19 14:15:57.4221 | DEBUG | Trd:30 | Hangfire.Server.Worker | Background process 'Worker #aa23224e' started. | 
2025-08-19 14:15:57.4221 | DEBUG | Trd:34 | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' started. | 
2025-08-19 14:15:57.4391 | DEBUG | Trd:33 | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' started. | 
2025-08-19 14:16:00.9826 | DEBUG | Trd:13 | Hec.Jobs.EmailDispatchJob | Sending emails in email queue... | 
2025-08-19 14:16:02.9017 | DEBUG | Trd:13 | Hec.Jobs.EmailDispatchJob | No queued emails to be sent. | 
2025-08-19 14:16:02.9090 | DEBUG | Trd:13 | Hec.Jobs.EmailDispatchJob | DONE. Unable to send queued emails. (0 emails). Exceptions:  | 
2025-08-19 14:16:07.7971 | DEBUG | Trd:12 | Hangfire.SqlServer.CountersAggregator | Background process 'Hangfire.SqlServer.CountersAggregator' stopped. | 
